courseName,holeNumber,par,strokeIndex
Los Naranjos Golf Club,1,4,11
Los Naranjos Golf Club,2,5,3
Los Naranjos Golf Club,3,3,17
Los Naranjos Golf Club,4,4,7
Los Naranjos Golf Club,5,4,1
Los Naranjos Golf Club,6,4,13
Los Naranjos Golf Club,7,3,15
Los Naranjos Golf Club,8,5,5
Los Naranjos Golf Club,9,4,9
Los Naranjos Golf Club,10,4,12
Los Naranjos Golf Club,11,5,4
Los Naranjos Golf Club,12,3,18
Los Naranjos Golf Club,13,4,8
Los Naranjos Golf Club,14,4,2
Los Naranjos Golf Club,15,4,14
Los Naranjos Golf Club,16,3,16
Los Naranjos Golf Club,17,5,6
Los Naranjos Golf Club,18,4,10
